WETH_balance_uni,WETH_balance_sushi,decimals,other_balance_uni,other_balance_sushi,token,arb_cond,arb_act,optimal_dx,profit_USD,ROE_in_%
12451980313579983645506,7720474216342003866949,6,22121045452283,13710591561410,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,False,-,-13511527621324.564,0,0.0
4389180538568423876748,2214112767035379578756,18,7793252998749202162919646,3928975565332672564221775,0x6b175474e89094c44da98b954eedeac495271d0f,False,-,-4.001456289,0,0.0
2685945836126553001245,6054650865319600628005,8,17596487632,39689879401,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,False,-,-61663172836.853134,0,0.0
262972921153324875201,140169908812632985888,18,164308925643752473747577,86837752853464830734326,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,True,Sell Eth at Uni,0.114393101,-9,-4.32286117067055
482574100327767157668,562436665285092326956,18,121634135129372136120135,141771299091399386941831,0x514910771af9ca656af840dff83e8264ecf986ca,False,-,-0.789585414,0,0.0
23006915554230647866,8280391237110144250,4,1076313951,386548850,0xaaaebe6fe48e54f431b0c390cfaf0b017d09d42d,False,-,-1182715239959.8953,0,0.0
371711576448524074048,104891146650183314403,18,941088976835206271817,266019447386658590775,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,False,-,-0.317931435,0,0.0
1070761040157351967675,78389672777233133165,9,1620950340863188,118209057778043,0xd46ba6d942050d489dbd938a2c909a5d5039a161,False,-,-77867697.70713556,0,0.0
33830370275695189940,4791630223875764180,18,255799325367190946766535,36314865714215301904090,0xe41d2489571d322189246dafa5ebde1f4699f498,False,-,-0.017581594,0,0.0
59160201472755359451,83641784872834184019,18,105189924059895240850625,148565746713933333377018,0x57ab1ec28d129707052df4df418d58a2d46d5f51,False,-,-0.086416115,0,0.0
1014729230722743201233,5637111059625990539,18,56501118554122584885529397,318371555682448514948530,0x93ed3fbe21207ec2e8f2d3c3de6e058cb73bc04d,True,Sell Eth at Sushi,-0.057530746,-9,-8.595499430956353
88098502053437981224,49408614282119553821,18,246269056457385083761324,137521648851883346079878,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,False,-,-0.026897581,0,0.0
6018532528988260738,1619042697152787225,18,803981905027830246727061,208102087522886864704235,0x8a9c67fee641579deba04928c4bc45f66e26343a,True,Sell Eth at Uni,0.020402805,-8,-21.544118054377304
10417413752096885251,50004496626852545155,9,11545114678048,56213750968442,0x607f4c5bb672230e8672085532f7e901544a7375,True,Sell Eth at Sushi,-87472514.5562423,534671957,0.3358492688129609
103495689601112908163,25065947537683887649,18,1926017260819567610499751,466963478632125046799607,0x408e41876cccdc0f92210600ef50372656052a38,False,-,-0.071656673,0,0.0
7521326732358452874,46104214584012546833,18,13418280534091642806138,82524443164050446458282,0x0000000000085d4780b73119b644ae5ecd22b376,False,-,-0.030192567,0,0.0
382103111485123725316,10961188018899062228,18,572693546693482967045337,16356658093059860900271,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,False,-,-0.008658515,0,0.0
7118116016419763546,86696750768172634629,18,6042657595109789363422,74184386800984167803275,0x04fa0d235c4abf4bcf4787af4cf447de572ef828,True,Sell Eth at Sushi,-0.045882846,-9,-10.777568037202716
12617672011929570333695,7134015072942794770088,6,22366653763018,12638568465704,0xdac17f958d2ee523a2206206994597c13d831ec7,False,-,-12378678178357.521,0,0.0
10749467841175448601,210079729335775648729,18,10366228355397527616144,201814033311538456407062,0xba11d00c5f74255f56a5e366f4f77f5a186d7f55,False,-,-0.011130243,0,0.0
43805537496424374872,7284036380303020245,18,99067971343888272894870,16629188513281900948423,0x80fb784b7ed66730e8b1dbd9820afd29931aab03,True,Sell Eth at Sushi,-0.048681999,-9,-10.157871588335855
122506373893663379004,14900630528258956130,18,110442111131998919511182727,13559438091862826816544524,0xf293d23bf2cdc05411ca0eddd588eb1977e8dcd4,True,Sell Eth at Sushi,-0.103069831,-9,-4.797771469184756
9677265935056314019,1504300518023511335,18,25894758916884718973178,3898396251403955177692,0x0ae055097c6d159879521c384f1d2123d1f195e6,True,Sell Eth at Uni,0.016671743,-9,-29.6612954329667
3407106276215598914,6988647369874622647,18,4091781533105006990162,8307706191091962185728,0xd26114cd6ee289accf82350c8d8487fedb8a0c07,True,Sell Eth at Uni,0.004831389,-9,-102.35265562460289
23019347421869717786,21533426635883821431,18,8087160785211164526560707,7615279397109505275894207,0x55296f69f40ea6d20e478533c15a6b08b654e758,True,Sell Eth at Sushi,-0.070522963,-9,-7.011978417660847
122421044004934012347,9816235960203344286,18,39275147953536556955071079,3091930525857817599450784,0xe3818504c1b32bf1557b16c238b2e01fd3149c17,True,Sell Eth at Uni,0.055700374,-8,-7.8915168426057525
10754272170405771549,2092680546892698779,18,528728998642661075582685,103039246159918006375140,0x8290333cef9e6d528dd5618fb97a76f268f3edd4,False,-,-0.006601665,0,0.0
24784056038868072506,311696245273277392127,8,47841133717202,601674977973820,0x4c19596f5aaff459fa38b0f7ed92f11ae6543784,False,-,-691325169.881001,0,0.0
9250455894258815275,34610328485789603794,18,11759183545385195163173,43821394520924800206287,0x8a854288a5976036a725879164ca3e91d30c6a1b,False,-,-0.007379705,0,0.0
87590597746454014378,3093298133253326774,18,6673572080053248506843,242704963160193384099,0xec67005c4e498ec7f55e092bd1d35cbc47c91892,True,Sell Eth at Sushi,-0.054216286,-8,-8.107535059860787
46522578603366839473,1339981469125742152423,18,1815629022965430653069,52572200442031773741820,0xc00e94cb662c3520282e6f5717214004a7f26888,False,-,-0.253951911,0,0.0
5607790693750157055,2453252830661834158,18,7633994075876315800274646,3293109029026889230615713,0x4730fb1463a6f1f44aeb45f6c5c422427f37f4d0,True,Sell Eth at Uni,0.006832206,-9,-72.37859843592165
27673398513829685416,25406082719029584530,2,75046951159,68919234040,0x998ffe1e43facffb941dc337dd0468d52ba5b48a,False,-,-419442968367955.3,0,0.0
29382391836885904022,101083631035778843342,18,107144055461367296332130,368130815971607734670244,0x4e15361fd6b4bb609fa63c81a2be19d873717870,False,-,-0.053850407,0,0.0
15204689428646841649,2175877397745139710,18,5571697578132631416246200,809659864083048274961844,0x8ab7404063ec4dbcfd4598215992dc3f8ec853d7,True,Sell Eth at Sushi,-0.020590303,-9,-24.016426300550044
115604450437776236128,1455316860439781881828,18,23774303485432445383,299285703991546268160,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,False,-,-0.321732378,0,0.0
23925819904718970088,15049694650460617501,18,1325393074261912656586831,839375204491788624200983,0xa3bed4e1c75d00fa6f4e5e6922db7261b5e9acd2,True,Sell Eth at Sushi,-0.059484874,-9,-8.313130065728885
37923635444644319095,5332306750138514864,18,39993990770360005995428,5750522670711952605323,0xfca59cd816ab1ead66534d82bc21e7515ce441cf,True,Sell Eth at Sushi,-0.067505975,-8,-6.51143012985798
2354003253558283949,16521526285215583617,18,36973592703336512518547,263747642310413585200011,0x4bd70556ae3f8a6ec6c4080a0c327b24325438f3,True,Sell Eth at Sushi,-0.022919417,-9,-21.575832164731526
1340573756108278793,67128024995710211053,18,1529966045938158883030,77956462809331991931412,0x50d1c9771902476076ecfc8b2a83ad6b9355a4c9,True,Sell Eth at Sushi,-0.015346631,-9,-32.22241379919114
18032903400117249411,36164087686088769597,18,2742550869634058414799,5548404759973366646585,0x2ba592f78db6436527729929aaf6c908497cb200,True,Sell Eth at Sushi,-0.089103171,-9,-5.5498080366353575
15474001241791174104,7859475667645089372,6,147589320554,74650688944,0x595832f8fc6bf59c85c527fec3740a1b7a361269,False,-,-4794789173.12858,0,0.0
180696420332702044505,16883145054586805811,18,1687616670335594954278272,157317323223322260744907,0xade00c28244d5ce17d72e40330b1c318cd12b7c3,False,-,-0.028673532,0,0.0
6884833666472382518,1901465382663208917,6,27986041568,7853797386,0x476c5e26a75bd202a9683ffd34359c0cc15be0ff,True,Sell Eth at Sushi,-16590779278.035215,136040963902,0.4505381037929664
69940467286000584855,138028327441387838743,18,123345229519332733547547,243340379504036973808011,0xd533a949740bb3306d119cc777fa900ba034cd52,False,-,-0.131891644,0,0.0
91079369212096898184,3387053224072982846818,18,133501587432324727927575,4972778160245858266107971,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,False,-,-0.339461701,0,0.0
66713901193803581549,5048298034870014722,18,1536205927685189270878468,114413773172926777518819,0xddb3422497e61e13543bea06989c0789117555c5,True,Sell Eth at Uni,0.023029907,-9,-21.472318342644392
310361552740271408122,2893992826764006528,18,1067846486203065380585200,9760890276008447135587,0x38e4adb44ef08f22f5b5b76a8f0c2d0dcbe7dca1,True,Sell Eth at Uni,0.019732109,-9,-25.060954939256337
38014415492708049237,4390887957693011490,18,1860955043534523532250,214226694593789558641,0xa0246c9032bc3a600820415ae600c6388619a14d,False,-,-0.005191823,0,0.0
29590461125469328384,19569257186683061323,18,3724026998115983252374448,2446403862710705990918416,0x557b933a7c2c45672b610f8954a3deb39a51a8ca,True,Sell Eth at Uni,0.004039586,-9,-122.41489462174947
23781010091460275752,40126123304026759170,18,10214245144577616469725098,17266269243103721582104858,0xff20817765cb7f73d4bde2e66e067e58d11095c2,False,-,-0.058701114,0,0.0
49346936606542195902,47576713880880758313,18,62338770754060108395186,59825149490675861156585,0x429881672b9ae42b8eba0e26cd9c73711b891ca5,False,-,-0.016791093,0,0.0
313371200916790002688,27299131482395479505,18,6660141893512900254373,579648405579710149323,0x1494ca1f11d487c2bbe4543e90080aeba4ba3c2b,False,-,-0.063867201,0,0.0
1563790769017185798,2777988686471727140,18,3128163022203130993244,5617954285306443462938,0xbc396689893d065f41bc2c6ecbee5e0085233447,True,Sell Eth at Sushi,-0.008494817,-9,-58.21261299748947
1508539444448716412,8673744172404279402,18,128767617899237980470268,725387565216516258941668,0x584bc13c7d411c00c01a62e8019472de68768430,True,Sell Eth at Uni,0.009323653,-9,-53.03774116277113
27500545395579632996,8080558861769145552,8,103607637420465,30722380421257,0x15d4c048f83bd7e37d49ea4c83a07267ec4203da,True,Sell Eth at Sushi,-476672749.18659806,554051698,0.06386436195683177
