Overall_arbitrage_USD_profit,ROE_in_%,Number_of_arbitrage_poistions
137129724604,0.3931936863029636,6
136575672971,0.4505381037962782,5
82696820835430,1.884208308987552,4
43195629745282,0.3713217012961426,5
43195629745277,0.371321701296134,5
43195629745280,0.3713217012961426,5
43195629743095,0.371321701296134,5
43195639744510,0.1858563762314583,6
43201173434273,0.2616434278556666,6
43201061265962,0.3713217012961512,5
44137951121006,0.5597132427250756,6
44156622003472,0.7481047841508061,7
44148179102070,0.7064718877060708,7
44148179102064,0.7064718876369984,7
44148179102027,0.7064718872225636,5
44148179102043,0.7272883357890958,6
44148179102059,0.7064718875679259,7
44148179102067,0.7064718877060708,7
44148179102062,0.7064718876369984,7
44148179102048,0.7272883358240313,6
44137951120969,0.7481047841492091,5
44137951120970,0.7481047841492091,5
44132519254405,0.7686764616175432,4
44132519254415,1.1633005311624782,4
44032173253114,0.7481047841508061,5
16452198848077,1.1838722086312117,3
16452198848079,1.578496278174949,3
5714454264391,0.8229625169836058,4
5714454264390,1.578496278174949,3
5714454264391,0.8229625169836058,4
5714454264395,1.0202745517554803,4
5714454264386,1.1838722086312117,3
