name,token,arb_cond,arb_act,profit
Synthetix Network Token,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,True,Sell Eth at Uni,0
Celsius,0xaaaebe6fe48e54f431b0c390cfaf0b017d09d42d,True,Sell Eth at Sushi,39088308636
Pinakion,0x93ed3fbe21207ec2e8f2d3c3de6e058cb73bc04d,True,Sell Eth at Sushi,0
Jarvis Reward Token,0x8a9c67fee641579deba04928c4bc45f66e26343a,True,Sell Eth at Sushi,0
iEx.ec Network Token,0x607f4c5bb672230e8672085532f7e901544a7375,True,Sell Eth at Uni,0
UMA Voting Token v1,0x04fa0d235c4abf4bcf4787af4cf447de572ef828,True,Sell Eth at Sushi,0
EthLend Token,0x80fb784b7ed66730e8b1dbd9820afd29931aab03,True,Sell Eth at Uni,0
Sylo,0xf293d23bf2cdc05411ca0eddd588eb1977e8dcd4,True,Sell Eth at Sushi,0
STAKE,0x0ae055097c6d159879521c384f1d2123d1f195e6,True,Sell Eth at Sushi,0
Ankr Network,0x8290333cef9e6d528dd5618fb97a76f268f3edd4,True,Sell Eth at Sushi,0
TrueFi,0x4c19596f5aaff459fa38b0f7ed92f11ae6543784,True,Sell Eth at Sushi,308859
Melon Token,0xec67005c4e498ec7f55e092bd1d35cbc47c91892,True,Sell Eth at Sushi,0
The 4th Pillar Token,0x4730fb1463a6f1f44aeb45f6c5c422427f37f4d0,True,Sell Eth at Uni,0
Akropolis,0x8ab7404063ec4dbcfd4598215992dc3f8ec853d7,True,Sell Eth at Sushi,0
Hxro,0x4bd70556ae3f8a6ec6c4080a0c327b24325438f3,True,Sell Eth at Sushi,0
FTT,0x50d1c9771902476076ecfc8b2a83ad6b9355a4c9,True,Sell Eth at Sushi,0
COTI Token,0xddb3422497e61e13543bea06989c0789117555c5,True,Sell Eth at Sushi,0
Amp,0xff20817765cb7f73d4bde2e66e067e58d11095c2,True,Sell Eth at Sushi,0
Perpetual,0xbc396689893d065f41bc2c6ecbee5e0085233447,True,Sell Eth at Sushi,0
Hegic,0x584bc13c7d411c00c01a62e8019472de68768430,True,Sell Eth at Sushi,0
Gala,0x15d4c048f83bd7e37d49ea4c83a07267ec4203da,True,Sell Eth at Uni,0
DEXTF Token,0x5f64ab1544d28732f0a24f4713c2c8ec0da089f0,True,Sell Eth at Sushi,0
SpaceChainV2,0x86ed939b500e121c0c5f493f399084db596dad20,True,Sell Eth at Sushi,0
$ROPE,0x9d47894f8becb68b9cf3428d256311affe8b068b,True,Sell Eth at Uni,0
Index,0x0954906da0bf32d5479e25f46056d22f08464cab,True,Sell Eth at Uni,0
Injective Token,0xe28b3b32b6c345a34ff64674606124dd5aceca30,True,Sell Eth at Uni,0
RFOX,0xa1d6df714f91debf4e0802a542e13067f31b8262,True,Sell Eth at Uni,0
Aragon Network Token,0xa117000000f279d81a1d3cc75430faa017fa5a2e,True,Sell Eth at Uni,0
SURF.Finance,0xea319e87cf06203dae107dd8e5672175e3ee976c,True,Sell Eth at Uni,0
Axie Infinity Shard,0xf5d669627376ebd411e34b98f19c868c8aba5ada,True,Sell Eth at Uni,0
PEAKDEFI,0x630d98424efe0ea27fb1b3ab7741907dffeaad78,True,Sell Eth at Uni,0
ichi.farm,0x903bef1736cddf2a537176cf3c64579c3867a881,True,Sell Eth at Uni,0
Spice,0xb753428af26e81097e7fd17f40c88aaa3e04902c,True,Sell Eth at Uni,0
Golem Network Token,0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429,True,Sell Eth at Uni,0
88mph.app,0x8888801af4d980682e47f1a9036e589479e835c5,True,Sell Eth at Uni,0
Archer DAO Governance Token,0x1f3f9d3068568f8040775be2e8c03c103c61f3af,True,Sell Eth at Uni,0
Idle,0x875773784af8135ea0ef43b5a374aad105c5d39e,True,Sell Eth at Uni,0
API3,0x0b38210ea11411557c13457d4da7dc6ea731b88a,True,Sell Eth at Uni,0
Base Protocol,0x07150e919b4de5fd6a63de1f9384828396f25fdc,True,Sell Eth at Sushi,318442
BaoToken,0x374cb8c27130e2c9e04f44303f3c8351b9de61c1,True,Sell Eth at Uni,0
Frax,0x853d955acef822db058eb8505911ed77f175b99e,True,Sell Eth at Sushi,0
TornadoCash,0x77777feddddffc19ff86db637967013e6c6a116c,True,Sell Eth at Uni,0
OnX.finance,0xe0ad1806fd3e7edf6ff52fdb822432e847411033,True,Sell Eth at Uni,0
1INCH Token,0x111111111117dc0aa78b770fa6a738034120c302,True,Sell Eth at Uni,0
BITTOKEN,0x9f9913853f749b3fe6d6d4e16a1cc3c1656b6d51,True,Sell Eth at Uni,0
NFTX,0x87d73e916d7057945c9bcd8cdd94e42a6f47f776,True,Sell Eth at Sushi,0
Must,0x9c78ee466d6cb57a4d01fd887d2b5dfb2d46288f,True,Sell Eth at Sushi,0
Stake DAO Token,0x73968b9a57c6e53d41345fd57a6e6ae27d6cdb2f,True,Sell Eth at Sushi,0
Armor,0x1337def16f9b486faed0293eb623dc8395dfe46a,True,Sell Eth at Sushi,0
Bridge Mutual,0x725c263e32c72ddc3a19bea12c5a0479a81ee688,True,Sell Eth at Sushi,0
